,Name,objType
564,170141,Star
565,193680,Star
566,187796,Star
567,257937,Star
568,257498,Star
569,201433,Star
570,162220,Star
571,177940,Star
572,152476,Star
573,149026,Star
574,18242,Star
575,224490,Star
576,202012,Star
577,31996,Star
578,103483,Star
579,148206,Star
580,152276,Star
581,109914,Star
582,39881,Star
583,92763,Star
584,186686,Star
585,64379,Star
586,82901,Star
587,194636,Star
588,222561,Star
589,14028,Star
590,27490,Star
591,84748,Star
592,12021,Star
593,138268,Star
594,12211,Star
595,2051,Star
596,73603,Star
597,136753,Star
598,141850,Star
599,109729,Star
600,120499,Star
601,128609,Star
602,34019,Star
603,220105,Star
604,196094,Star
605,143454,Star
606,39816,Star
607,224960,Star
608,117833,Star
609,107199,Star
610,1967,Star
611,170141,Star
612,193680,Star
613,187796,Star
614,257937,Star
615,257498,Star
616,201433,Star
617,162220,Star
618,177940,Star
619,152476,Star
620,149026,Star
621,18242,Star
622,224490,Star
623,202012,Star
624,31996,Star
625,103483,Star
626,148206,Star
627,152276,Star
628,109914,Star
629,39881,Star
630,92763,Star
631,186686,Star
632,64379,Star
633,82901,Star
634,194636,Star
635,222561,Star
636,14028,Star
637,27490,Star
638,84748,Star
639,12021,Star
640,138268,Star
641,12211,Star
642,2051,Star
643,73603,Star
644,136753,Star
645,141850,Star
646,109729,Star
647,120499,Star
648,128609,Star
649,34019,Star
650,220105,Star
651,196094,Star
652,143454,Star
653,39816,Star
654,224960,Star
655,117833,Star
656,107199,Star
657,1967,Star
658,170141,Star
659,193680,Star
660,187796,Star
661,257937,Star
662,257498,Star
663,201433,Star
664,162220,Star
665,177940,Star
666,152476,Star
667,149026,Star
668,18242,Star
669,224490,Star
670,202012,Star
671,31996,Star
672,103483,Star
673,148206,Star
674,152276,Star
675,109914,Star
676,39881,Star
677,92763,Star
678,186686,Star
679,64379,Star
680,82901,Star
681,194636,Star
682,222561,Star
683,14028,Star
684,27490,Star
685,84748,Star
686,12021,Star
687,138268,Star
688,12211,Star
689,2051,Star
690,73603,Star
691,136753,Star
692,141850,Star
693,109729,Star
694,120499,Star
695,128609,Star
696,34019,Star
697,220105,Star
698,196094,Star
699,143454,Star
700,39816,Star
701,224960,Star
702,117833,Star
703,107199,Star
704,1967,Star
705,170141,Star
706,193680,Star
707,187796,Star
708,257937,Star
709,257498,Star
710,201433,Star
711,162220,Star
712,177940,Star
713,152476,Star
714,149026,Star
715,18242,Star
716,224490,Star
717,202012,Star
718,31996,Star
719,103483,Star
720,148206,Star
721,152276,Star
722,109914,Star
723,39881,Star
724,92763,Star
725,186686,Star
726,64379,Star
