NGC_Num,Other names,General Type,Specific Type,Apparent magnitude
510,,Star,Double star,
511,,Galaxy,Elliptical galaxy,15.4
512,,Galaxy,Spiral galaxy,14
513,,Galaxy,Spiral galaxy,13.4
514,,Galaxy,Spiral galaxy,12.8
515,,Galaxy,Lenticular galaxy,14.3
516,,Galaxy,Lenticular galaxy,14.3
517,,Galaxy,Lenticular galaxy,13.6
518,,Galaxy,Spiral galaxy,14.4
519,,Galaxy,Elliptical galaxy,15.3
520,,Galaxy,Interacting galaxies,12.4
521,,Galaxy,Spiral galaxy,12.9
522,,Galaxy,Spiral galaxy,14.2
523,,Galaxy,Irregular galaxy,13.5
524,,Galaxy,Lenticular galaxy,11.5
525,,Galaxy,Lenticular galaxy,14.5
526,,Galaxy,Interacting galaxies,14.5
527,,Galaxy,Spiral galaxy,13
528,,Galaxy,Lenticular galaxy,13.7
529,,Galaxy,Elliptical galaxy,13.1
530,,Galaxy,Lenticular galaxy,14
531,,Galaxy,Spiral galaxy,14.9
532,,Galaxy,Spiral galaxy,13.5
533,,Galaxy,Elliptical galaxy,13.1
534,,Galaxy,Lenticular galaxy,14
535,,Galaxy,Lenticular galaxy,14.9
536,,Galaxy,Spiral galaxy,13.2
537,(Duplicate of NGC 523),Galaxy,Irregular galaxy,13.5
538,,Galaxy,Spiral galaxy,14.7
539,,Galaxy,Spiral galaxy,13.9
540,,Galaxy,Lenticular galaxy,
541,,Galaxy,Lenticular galaxy,14.6
542,,Galaxy,Spiral galaxy,15.4
543,,Galaxy,Lenticular galaxy,15
544,,Galaxy,Lenticular galaxy,15.1
545,,Galaxy,Lenticular galaxy,14.4
546,,Galaxy,Spiral galaxy,14.8
547,,Galaxy,Elliptical galaxy,14.4
548,,Galaxy,Elliptical galaxy,15.1
549,,Galaxy,Spiral galaxy,13
550,,Galaxy,Spiral galaxy,13.6
551,,Galaxy,Spiral galaxy,13.5
552,,N/A,(Identification uncertain),
553,,Galaxy,Lenticular galaxy,
554,,Galaxy,Interacting galaxies,
555,,Galaxy,Spiral galaxy,
556,,Galaxy,Lenticular galaxy,
