NGC_Num,Other names,General Type,Specific Type,Apparent magnitude
981,,Galaxy,Spiral galaxy,14
982,,Galaxy,Spiral galaxy,13.2
983,,Galaxy,Spiral galaxy,14
984,,Galaxy,Lenticular galaxy,14.5
985,,Galaxy,Ring galaxy,14.5
986,,Galaxy,Spiral galaxy,11.8
987,,Galaxy,Spiral galaxy,13.4
988,,Galaxy,Spiral galaxy,11.4
989,,Galaxy,Galaxy,15
990,,Galaxy,Elliptical galaxy,13.9
991,,Galaxy,Spiral galaxy,13.4
992,,Galaxy,Spiral galaxy,13.5
993,,Galaxy,Lenticular galaxy,14.9
994,(Duplicate of NGC 993),Galaxy,Lenticular galaxy,14.9
995,,Galaxy,Lenticular galaxy,14.9
996,,Galaxy,Elliptical galaxy,14.5
997,,Galaxy,Interacting galaxies,14.6
998,,Galaxy,Spiral galaxy,15.6
999,,Galaxy,Spiral galaxy,14.5
1000,,Galaxy,Elliptical galaxy,15.6
1001,,Galaxy,Barred spiral galaxy,14.7
1002,,Galaxy,Barred spiral galaxy,13.94
1003,,Galaxy,Spiral galaxy,12
1004,,Galaxy,Elliptical galaxy,13.71
1005,,Galaxy,Galaxy,14.7
1006,,Galaxy,Barred spiral galaxy,14.5
1007,,Galaxy,Galaxy,15.7
1008,,Galaxy,Elliptical galaxy,14.63
1009,,Galaxy,Spiral galaxy,15.21
1010,Duplicate of NGC 1006,Galaxy,Barred spiral galaxy,14.5
1011,,Galaxy,Elliptical galaxy,13.3R
1012,,Galaxy,Spiral galaxy,13
1013,,Galaxy,Galaxy,14.97
1014,,Star,Double star,?
1015,,Galaxy,Barred spiral galaxy,12.98
1016,,Galaxy,Elliptical galaxy,12.61
1017,,Galaxy,Spiral galaxy,14.5
1018,,Galaxy,Barred spiral galaxy,15.38
1019,,Galaxy,Barred spiral galaxy,14.34
1020,,Galaxy,Elliptical galaxy,15.14
1021,,Galaxy,Barred spiral galaxy,15.02
1022,,Galaxy,Barred spiral galaxy,12.09
1023,,Galaxy,Barred lenticular galaxy,10.35
1024,,Galaxy,Spiral galaxy,13.08
1025,,Galaxy,Spiral galaxy,13.84
1026,,Galaxy,Spiral galaxy,12.7
1027,,Cluster,Open cluster,?
1028,,Galaxy,Barred spiral galaxy,14.79
1029,,Galaxy,Barred lenticular galaxy,13.11
1030,,Galaxy,Spiral galaxy,11.42
1031,,Galaxy,Spiral galaxy,11.6
1032,,Galaxy,Spiral galaxy,12.64
1033,,Galaxy,Spiral galaxy,14.4
1034,,Galaxy,Galaxy,14.56
1035,,Galaxy,Spiral galaxy,12.89
1036,,Galaxy,Irregular galaxy,13.75
1037,Doesn't exist at the listed coordinates,Galaxy,Spiral galaxy,?
1038,,Galaxy,Lenticular galaxy,14.4
1039,Messier 34,Cluster,Open cluster,5.4
1040,,Galaxy,Lenticular galaxy,13.86
1041,,Galaxy,Lenticular galaxy,14.26
1042,,Galaxy,Spiral galaxy,11.1
1043,,Galaxy,Spiral galaxy,15.7
1044,,Galaxy,Lenticular galaxy,14.8
1045,,Galaxy,Lenticular galaxy,13.52
1046,,Galaxy,Lenticular galaxy,14.8
1047,,Galaxy,Lenticular galaxy,14.3
1048,,Galaxy,Spiral galaxy,14.8
1049,,Cluster,Globular cluster,13.6
1050,,Galaxy,Barred spiral galaxy,12.81
1051,,Galaxy,Barred spiral galaxy,13.4
1052,,Galaxy,Elliptical galaxy,12.08
1053,Duplicate of NGC 1040,Galaxy,Lenticular galaxy,13.86
1054,,Galaxy,Spiral galaxy,14.57
1055,,Galaxy,Spiral galaxy,12.5
1056,,Galaxy,Spiral galaxy,13.32
1057,,Galaxy,Lenticular galaxy,15.22
1058,,Galaxy,Spiral galaxy,11.82
1059,,Star,Double star,
1060,,Galaxy,Lenticular galaxy,13
1061,,Galaxy,Irregular galaxy,15.02
1062,,Star,Star,
1063,,Galaxy,Spiral galaxy,14.44
1064,,Galaxy,Barred spiral galaxy,15.11
1065,,Galaxy,Galaxy,15.09
1066,,Galaxy,Elliptical galaxy,14.25
1067,,Galaxy,Spiral galaxy,14.55
1068,Messier 77,Galaxy,Spiral galaxy,8.9
1069,,Galaxy,Spiral galaxy,14.1
1070,,Galaxy,Spiral galaxy,12.72
1071,,Galaxy,Barred spiral galaxy,15.41
1072,IC 1837,Galaxy,Barred spiral galaxy,14.1
1073,,Galaxy,Spiral galaxy,12.5
1074,,Galaxy,Spiral galaxy,15.18
1075,,Galaxy,Galaxy,15
1076,,Galaxy,Lenticular galaxy,13.71
1077,,Galaxy,Interacting galaxy,
1078,,Galaxy,Galaxy,15.32
1079,,Galaxy,Spiral galaxy,12.74
1080,,Galaxy,Barred spiral galaxy,14.08
1081,,Galaxy,Barred spiral galaxy,14.36
1082,,Galaxy,Galaxy,14.3
1083,,Galaxy,Spiral galaxy,15.19
1084,,Galaxy,Spiral galaxy,11.6
1085,,Galaxy,Spiral galaxy,13.07
1086,,Galaxy,Spiral galaxy,13.5
1087,,Galaxy,Spiral galaxy,11.4
1088,,Galaxy,Lenticular galaxy,
1089,,Galaxy,Galaxy,14.77
1090,,Galaxy,Spiral galaxy,12.8
1091,,Galaxy,Spiral galaxy,15.33
1092,,Galaxy,Elliptical galaxy,15.64
1093,,Galaxy,Spiral galaxy,13.99
1094,,Galaxy,Spiral galaxy,"13,7"
1095,,Galaxy,Barred spiral galaxy,13.99
1096,,Galaxy,Barred spiral galaxy,13.49
1097,,Galaxy,Spiral galaxy,10.2
1098,,Galaxy,Lenticular galaxy,14.33
1099,,Galaxy,Barred spiral galaxy,14.33
1100,,Galaxy,Spiral galaxy,14.33
1101,,Galaxy,Lenticular galaxy,13.96
1102,,Galaxy,Spiral galaxy,15.48
1103,,Galaxy,Barred spiral galaxy,13.61
1104,,Galaxy,Barred spiral galaxy,14.2
1105,,Galaxy,Galaxy,15.44
1106,,Galaxy,Lenticular galaxy,13.3
1107,,Galaxy,Lenticular galaxy,13.46
1108,,Galaxy,Galaxy,14.4
1109,,Galaxy,Galaxy,15.4
1110,,Galaxy,Barred spiral galaxy,14.5
1111,,Galaxy,Lenticular galaxy,
1112,,Galaxy,Spiral galaxy,14.53
1113,,Star,Star,
1114,,Galaxy,Spiral galaxy,13.27
1115,,Galaxy,Galaxy,15.6
1116,,Galaxy,Spiral galaxy,15.2
1117,,Galaxy,Elliptical galaxy,15.5
1118,,Galaxy,Barred spiral galaxy,14.25
1119,,Galaxy,Lenticular galaxy,14.78
1120,IC 261,Galaxy,Lenticular galaxy,14.83
1121,,Galaxy,Lenticular galaxy,13.92
1122,,Galaxy,Spiral galaxy,12.9
1123,Duplicate of NGC 1122,Galaxy,Spiral galaxy,12.9
1124,,Galaxy,Barred spiral galaxy,15.03
1125,,Galaxy,Barred spiral galaxy,13.43
1126,,Galaxy,Spiral galaxy,15.43
1127,,Galaxy,Barred spiral galaxy,15.27
1128,,Galaxy,Elliptical galaxy,15.5
1129,,Galaxy,Elliptical galaxy,13.5
1130,,Galaxy,Galaxy,15.6
1131,,Galaxy,Galaxy,15.6
1132,,Galaxy,Elliptical galaxy,13.25
1133,,Galaxy,Galaxy,14.5
1134,,Galaxy,Spiral galaxy,13.05
1135,,Galaxy,Spiral galaxy,16.16
1136,,Galaxy,Barred spiral galaxy,13.75
1137,,Galaxy,Spiral galaxy,13.21
1138,,Galaxy,Lenticular galaxy,13.8
1139,,Galaxy,Barred spiral galaxy,15.4
1140,,Galaxy,Irregular galaxy,13.62
1141,,Galaxy,Lenticular galaxy,13.2
1142,,Galaxy,Interacting galaxy,13.2
1143,Duplicate of NGC 1141,Galaxy,Lenticular galaxy,13.2
1144,Duplicate of NGC 1142,Galaxy,Interacting galaxy,13.2
1145,,Galaxy,Spiral galaxy,13.81
1146,,Asterism,Asterism,
1147,Doesn't exist,N/A,Unknown,
1148,,Galaxy,Barred spiral galaxy,14.5
1149,,Galaxy,Lenticular galaxy,14.8
1150,,Galaxy,Galaxy,14.93
1151,,Galaxy,Galaxy,15.92
1152,,Galaxy,Lenticular galaxy,14.1
1153,,Galaxy,Lenticular galaxy,13.35
1154,,Galaxy,Barred spiral galaxy,13.89
1155,,Galaxy,Elliptical galaxy,14.3
1156,,Galaxy,Irregular galaxy,12
1157,,Galaxy,Galaxy,15.5
1158,,Galaxy,Galaxy,15.2
1159,,Galaxy,Spiral galaxy,14.2
1160,,Galaxy,Spiral galaxy,13.5
1161,,Galaxy,Lenticular galaxy,12.5
1162,,Galaxy,Elliptical galaxy,13.55
1163,,Galaxy,Barred spiral galaxy,14.66
1164,,Galaxy,Spiral galaxy,14
1165,,Galaxy,Barred spiral galaxy,13.92
1166,,Galaxy,Spiral galaxy,14.86
1167,,Galaxy,Lenticular galaxy,13.38
1168,,Galaxy,Spiral galaxy,15.02
1169,,Galaxy,Spiral galaxy,12.2
1170,Doesn't exist,N/A,Unknown,
1171,,Galaxy,Spiral galaxy,13
1172,,Galaxy,Elliptical galaxy,13.31
1173,Doesn't exist,N/A,Unknown,
1174,Duplicate of NGC 1186,Galaxy,Barred spiral galaxy,12.2
1175,,Galaxy,Lenticular galaxy,13.89
1176,,Star,Star,
1177,,Galaxy,Spiral galaxy,15.5
1178,,Star,Star,
1179,,Galaxy,Spiral galaxy,13.83
1180,,Galaxy,Galaxy,15.76
1181,,Galaxy,Lenticular galaxy,16.19
1182,,Galaxy,Spiral galaxy,14.79
1183,,Star,Star,
1184,,Galaxy,Spiral galaxy,13.44
1185,,Galaxy,Barred spiral galaxy,14.46
1186,Duplicate of NGC 1174,Galaxy,Barred spiral galaxy,12.2
1187,,Galaxy,Spiral galaxy,11.4
1188,,Galaxy,Lenticular galaxy,14.77
1189,,Galaxy,Barred spiral galaxy,15.15
1190,,Galaxy,Lenticular galaxy,15.3
1191,,Galaxy,Lenticular galaxy,15.28
1192,,Galaxy,Elliptical galaxy,15.36
1193,,Cluster,Open cluster,12.6
1194,,Galaxy,Lenticular galaxy,14
1195,,Galaxy,Galaxy,14.5
1196,,Galaxy,Lenticular galaxy,14.5
1197,Doesn't exist,N/A,Unknown,
1198,IC 282,Galaxy,Lenticular galaxy,13.5
1199,,Galaxy,Elliptical galaxy,12.37
1200,,Galaxy,Lenticular galaxy,13.2
1201,,Galaxy,Lenticular galaxy,12.2
1202,,Galaxy,Spiral galaxy,16.6
1203,,Galaxy,Elliptical galaxy,12.5
1204,,Galaxy,Spiral galaxy,14.21
1205,Duplicate of NGC 1182,Galaxy,Spiral galaxy,14.79
1206,,Galaxy,Elliptical galaxy,14.68
1207,,Galaxy,Spiral galaxy,13.38
1208,,Galaxy,Spiral galaxy,13.35
1209,,Galaxy,Elliptical galaxy,12.86
1210,,Galaxy,Lenticular galaxy,13.46
1211,,Galaxy,Barred spiral galaxy,13.2
1212,IC 1883,Galaxy,Spiral galaxy,16
1213,IC 1881,Galaxy,Spiral galaxy,15
1214,,Galaxy,Lenticular galaxy,14.3
1215,,Galaxy,Spiral galaxy,14
1216,,Galaxy,Lenticular galaxy,15.25
1217,,Galaxy,Spiral galaxy,13.64
1218,,Galaxy,Spiral galaxy,13.84
1219,,Galaxy,Spiral galaxy,13.82
1220,,Cluster,Open cluster,11.8
1221,,Galaxy,Lenticular galaxy,14.6
1222,,Galaxy,Lenticular galaxy,13.62
1223,,Galaxy,Elliptical galaxy,14.42
1224,,Galaxy,Lenticular galaxy,14.7
1225,,Galaxy,Galaxy,14.85
1226,,Galaxy,Elliptical galaxy,13.85
1227,,Galaxy,Lenticular galaxy,15.24
1228,,Galaxy,Lenticular galaxy,14.59
1229,,Galaxy,Barred spiral galaxy,14.82
1230,,Galaxy,Lenticular galaxy,15.37
1231,,Galaxy,Spiral galaxy,14.42
1232,,Galaxy,Spiral galaxy,10.7
1233,,Galaxy,Spiral galaxy,14
1234,PGC 11813,Galaxy,Barred spiral galaxy,15.3g
1235,Duplicate of NGC 1233,Galaxy,Spiral galaxy,14
1236,,Galaxy,Galaxy,15.7
1237,,Star,Double star,
1238,,Galaxy,Elliptical galaxy,14.3
1239,,Galaxy,Lenticular galaxy,14.61
1240,,Star,Double star,
1241,Arp 304,Galaxy,Barred spiral galaxy,11.99
1242,Arp 305,Galaxy,Barred spiral galaxy,14.55
1243,,Star,Double star,
1244,,Galaxy,Spiral galaxy,13.88
1245,,Cluster,Open cluster,9.2
1246,,Galaxy,Elliptical galaxy,13.85
1247,,Galaxy,Spiral galaxy,13.47
1248,,Galaxy,Lenticular galaxy,13.72
1249,,Galaxy,Barred spiral galaxy,12.19
1250,,Galaxy,Lenticular galaxy,13.96
1251,,Star,Double star,
1252,,N/A,non-existent,
1253,,Galaxy,Spiral galaxy,13
1254,,Galaxy,Lenticular galaxy,15.1
1255,,Galaxy,Spiral galaxy,12.06
1256,,Galaxy,Spiral galaxy,14.37
1257,,Star,Double star,
1258,,Galaxy,Spiral galaxy,13.95
1259,,Galaxy,Lenticular galaxy,16
1260,,Galaxy,Spiral galaxy,14.32
1261,,Cluster,Globular cluster,9.8
1262,,Galaxy,Spiral galaxy,15
1263,,Galaxy,Galaxy,15.04
1264,,Galaxy,Barred spiral galaxy,16
1265,,Galaxy,Elliptical galaxy,13.22
1266,,Galaxy,Lenticular galaxy,14
1267,,Galaxy,Elliptical galaxy,15.4
1268,,Galaxy,Spiral galaxy,14.2
1269,,Galaxy,Barred spiral galaxy,9.39
1270,,Galaxy,Elliptical galaxy,14.26
1271,,Galaxy,Lenticular galaxy,15.1
1272,,Galaxy,Elliptical galaxy,12.86
1273,,Galaxy,Lenticular galaxy,14.27
1274,,Galaxy,Elliptical galaxy,15.12
1275,Perseus A,Galaxy,Elliptical galaxy,12.64
1276,,Star,Double star,
1277,,Galaxy,Lenticular galaxy,
1278,IC 1907,Galaxy,Elliptical galaxy,13.57
1279,,Galaxy,Lenticular galaxy,15.5
1280,,Galaxy,Spiral galaxy,14
1281,,Galaxy,Elliptical galaxy,14.5
1282,,Galaxy,Elliptical galaxy,13.87
1283,,Galaxy,Elliptical galaxy,14.73
1284,,Galaxy,Lenticular galaxy,14.64
1285,,Galaxy,Barred spiral galaxy,13.5g
1286,,Galaxy,Galaxy,14.1g
1287,,Galaxy,Spiral galaxy,14.72
1288,,Galaxy,Spiral galaxy,13.26
1289,IC 314,Galaxy,Lenticular galaxy,13.48
1290,,Galaxy,Galaxy,15.4
1291,Duplicate of NGC 1269,Galaxy,Barred spiral galaxy,9.39
1292,,Galaxy,Spiral galaxy,12.7
1293,,Galaxy,Elliptical galaxy,14.5
1294,,Galaxy,Lenticular galaxy,14.3
1295,,Galaxy,Galaxy,13.3
1296,,Galaxy,Barred spiral galaxy,14.76
1297,,Galaxy,Lenticular galaxy,12.77
1298,,Galaxy,Elliptical galaxy,14.95
1299,,Galaxy,Barred spiral galaxy,13.37
1300,,Galaxy,Barred spiral galaxy,11.2
1301,,Galaxy,Barred spiral galaxy,13.87
1302,,Galaxy,Barred spiral galaxy,11.69
1303,,Galaxy,Galaxy,14.2g
1304,,Galaxy,Lenticular galaxy,14.4
1305,,Galaxy,Lenticular galaxy,14.32
1306,,Galaxy,Spiral galaxy,13.6
1307,Duplicate of NGC 1304,Galaxy,Lenticular galaxy,14.4
1308,,Galaxy,Barred spiral galaxy,14.7
1309,,Galaxy,Spiral galaxy,12.1
1310,,Galaxy,Spiral galaxy,12.5
1311,,Galaxy,Barred spiral galaxy,13.44
1312,,Star,Double star,
1313,,Galaxy,Spiral galaxy,9.4
1314,,Galaxy,Spiral galaxy,14.86
1315,,Galaxy,Lenticular galaxy,13.88
1316,Fornax A,Galaxy,Lenticular galaxy,9.7
1317,Fornax B,Galaxy,Spiral galaxy,11.9
1318,Duplicate of NGC 1317,Galaxy,Spiral galaxy,11.9
1319,,Galaxy,Lenticular galaxy,14.06
1320,,Galaxy,Spiral galaxy,13.32
1321,,Galaxy,Elliptical galaxy,14.21
1322,,Galaxy,Galaxy,14.36
1323,,Galaxy,Galaxy,16.02
1324,,Galaxy,Spiral galaxy,13.2g
1325,,Galaxy,Spiral galaxy,12.49
1326,,Galaxy,Lenticular galaxy,12.2
1327,,Galaxy,Barred spiral galaxy,15.24
1328,,Galaxy,Galaxy,14.78
1329,,Galaxy,Spiral galaxy,13.79
1330,,Asterism,Asterism,
1331,IC 324,Galaxy,Elliptical galaxy,14.33
1332,,Galaxy,Lenticular galaxy,12.11
1333,,Nebula,Diffuse nebula,10.9
1334,,Galaxy,Spiral galaxy,14.1
1335,,Galaxy,Lenticular galaxy,14.8
1336,,Galaxy,Lenticular galaxy,13.1
1337,,Galaxy,Spiral galaxy,12.5
1338,,Galaxy,Spiral galaxy,13.7b
1339,,Galaxy,Elliptical galaxy,12.51
1340,,Galaxy,Elliptical galaxy,11.27
1341,,Galaxy,Spiral galaxy,13.21
1342,,Cluster,Open cluster,6.7
1343,,Galaxy,Spiral galaxy,13.5
1344,Duplicate of NGC 1340,Galaxy,Elliptical galaxy,11.27
1345,,Galaxy,Barred spiral galaxy,14.33
1346,,Galaxy,Spiral galaxy,13.8g
1347,Arp 39,Galaxy,Interacting galaxy,13.72
1348,,Cluster,Open cluster,
1349,,Galaxy,Lenticular galaxy,14.17
1350,,Galaxy,Spiral galaxy,11.5
1351,,Galaxy,Lenticular galaxy,13.02
1352,,Galaxy,Lenticular galaxy,14.79
1353,,Galaxy,Barred spiral galaxy,12.57
1354,,Galaxy,Spiral galaxy,13.46
1355,,Galaxy,Lenticular galaxy,14.56
1356,,Galaxy,Spiral galaxy,13.71
1357,,Galaxy,Spiral galaxy,12.4
1358,,Galaxy,Spiral galaxy,14
1359,,Galaxy,Irregular galaxy,13
1360,,Nebula,Planetary nebula,11
1361,,Galaxy,Elliptical galaxy,13.8
1362,,Galaxy,Lenticular galaxy,14.2
1363,,Galaxy,Galaxy,
1364,,Galaxy,Galaxy,15.4
1365,,Galaxy,Barred spiral galaxy,10.3
1366,,Galaxy,Lenticular galaxy,13.03
1367,,Galaxy,Spiral galaxy,11.57
1368,,Galaxy,Galaxy,15.22
1369,,Galaxy,Barred spiral galaxy,13.47
1370,,Galaxy,Lenticular galaxy,13.7
1371,Duplicate of NGC 1367,Galaxy,Spiral galaxy,11.57
1372,,Galaxy,Elliptical galaxy,15.39
1373,,Galaxy,Elliptical galaxy,14.27
1374,,Galaxy,Elliptical galaxy,12
1375,,Galaxy,Lenticular galaxy,13.5
1376,,Galaxy,Spiral galaxy,12.89
1377,,Galaxy,Lenticular galaxy,13.8
1378,,Star,Double star,
1379,,Galaxy,Elliptical galaxy,12.64
1380,,Galaxy,Lenticular galaxy,11.2
1381,,Galaxy,Lenticular galaxy,12.3
1382,,Galaxy,Lenticular galaxy,12.92
1383,,Galaxy,Elliptical galaxy,13.45
1384,,Galaxy,Spiral galaxy,15.36
1385,,Galaxy,Barred spiral galaxy,11.76
1386,,Galaxy,Lenticular galaxy,12.09
1387,,Galaxy,Lenticular galaxy,12.01
1388,,Galaxy,Elliptical galaxy,14.88
1389,,Galaxy,Lenticular galaxy,13.16
1390,,Galaxy,Barred spiral galaxy,14.59
1391,,Galaxy,Lenticular galaxy,14.34
1392,ESO 358-40,Galaxy,Galaxy,
1393,,Galaxy,Lenticular galaxy,12.97
1394,,Galaxy,Lenticular galaxy,13.82
1395,,Galaxy,Elliptical galaxy,10.97
1396,,Galaxy,Lenticular galaxy,14.82
1397,,Galaxy,Barred spiral galaxy,14.7
1398,,Galaxy,Barred spiral galaxy,10.63
1399,,Galaxy,Elliptical galaxy,10.3
1400,,Galaxy,Lenticular galaxy,12.3
1401,,Galaxy,Barred lenticular galaxy,12.1
1402,,Galaxy,Barred lenticular galaxy,13.3
1403,,Galaxy,Lenticular galaxy,12.7
1404,,Galaxy,Elliptical galaxy,10.9
1405,,Galaxy,Lenticular galaxy,14.1
1406,,Galaxy,Barred spiral galaxy,11.7
1407,,Galaxy,Elliptical galaxy,9.7
1408,Doesn't exist,N/A,Unknown,?
1409,,Galaxy,Interacting galaxy,14.7
1410,,Galaxy,Interacting galaxy,14
1411,,Galaxy,Lenticular galaxy,11.3
1412,,Galaxy,Lenticular galaxy,12.5
1413,,Galaxy,Galaxy,14.3
1414,,Galaxy,Barred spiral galaxy,13.8
1415,,Galaxy,Lenticular galaxy,11.9
1416,,Galaxy,Elliptical galaxy,13.1
1417,,Galaxy,Spiral galaxy,12.1
1418,,Galaxy,Barred spiral galaxy,13.6
1419,,Galaxy,Elliptical galaxy,12.5
1420,,Star,Multiple star,?
1421,,Galaxy,Spiral galaxy,11.4
1422,,Galaxy,Barred spiral galaxy,13.2
1423,,Galaxy,Spiral galaxy,14.1
1424,,Galaxy,Spiral galaxy,13.8
1425,,Galaxy,Spiral galaxy,10.6
1426,,Galaxy,Elliptical galaxy,11.3
1427,,Galaxy,Elliptical galaxy,11.8
1427A,,Galaxy,Irregular galaxy,14.2
1428,,Galaxy,Lenticular galaxy,12.8
1429,Doesn't exist,N/A,Unknown,?
1430,,Star,Star,?
1431,,Galaxy,Lenticular galaxy,14.2
1432,Maia Nebula (Located within Pleiades),Nebula,Diffuse nebula,
1433,,Galaxy,Barred spiral galaxy,9.8
1434,,Galaxy,Galaxy,14.3
1435,Merope Nebula (Located within Pleiades),Nebula,Diffuse nebula,13
1436,,Galaxy,Spiral galaxy,11.7
1437,Duplicate of NGC 1436,Galaxy,Spiral galaxy,11.7
1438,,Galaxy,Lenticular galaxy,12.3
1439,,Galaxy,Elliptical galaxy,11.3
1440,,Galaxy,Barred lenticular galaxy,11.6
1441,,Galaxy,Barred spiral galaxy,13.1
1442,Duplicate of NGC 1440,Galaxy,Barred lenticular galaxy,11.6
1443,,Star,Star,?
1444,,Cluster,Open cluster,6.6
1445,,Galaxy,Galaxy,14
1446,,Star,Star,?
1447,,Galaxy,Galaxy,14.7
1448,,Galaxy,Spiral galaxy,10.7
1449,,Galaxy,Lenticular galaxy,13.5
1450,,Galaxy,Galaxy,14.1
1451,,Galaxy,Lenticular galaxy,13.4
1452,,Galaxy,Barred lenticular galaxy,11.9
1453,,Galaxy,Elliptical galaxy,11.6
1454,,Star,Star,?
1455,Duplicate of NGC 1452,Galaxy,Barred lenticular galaxy,11.9
1456,,Star,Double star,?
1457,Duplicate of NGC 1448,Galaxy,Spiral galaxy,10.7
1458,,N/A,Unknown,?
1459,,Galaxy,Barred spiral galaxy,12.8
1460,,Galaxy,Barred lenticular galaxy,12.5
1461,,Galaxy,Lenticular galaxy,11.8
1462,,Galaxy,Spiral galaxy,14.4
1463,,Galaxy,Spiral galaxy,13.3
1464,,Galaxy,Galaxy,14.6
1465,,Galaxy,Lenticular galaxy,13.8
1466,,Cluster,Globular cluster,11.4
1467,,Galaxy,Lenticular galaxy,14.1
1468,,Galaxy,Lenticular galaxy,14.2
1469,,Galaxy,Lenticular galaxy,13.2
1470,,Galaxy,Spiral galaxy,14.2
1471,Duplicate of NGC 1464,Galaxy,Galaxy,14.6
1472,,Galaxy,Galaxy,14.4
1473,,Galaxy,Irregular galaxy,13
1474,,Galaxy,Barred spiral galaxy,13.9
1475,,Star,Star,?
1476,,Galaxy,Spiral galaxy,13.1
1477,,Galaxy,Galaxy,14.2
1478,,Galaxy,Galaxy,14.8
1479,Doesn't exist,N/A,Unknown,?
1480,Doesn't exist,N/A,Unknown,?
1481,,Galaxy,Lenticular galaxy,13.8
1482,,Galaxy,Lenticular galaxy,13.3
1483,,Galaxy,Barred spiral galaxy,12.3
1484,,Galaxy,Barred spiral galaxy,12.8
1485,,Galaxy,Spiral galaxy,12.8
1486,,Galaxy,Spiral galaxy,14.4
1487,,Galaxy,Interacting galaxy,11.6
1488,,Star,Double star,?
1489,,Galaxy,Barred spiral galaxy,13.8
1490,,Galaxy,Elliptical galaxy,12.4
1491,,Nebula,Diffuse nebula,
1492,,Galaxy,Spiral galaxy,13.4
1493,,Galaxy,Barred spiral galaxy,11.1
1494,,Galaxy,Spiral galaxy,11.6
1495,,Galaxy,Spiral galaxy,12.6
1496,,Cluster,Open cluster,9.6
1497,,Galaxy,Lenticular galaxy,13.3
1498,,Star,Multiple star,?
1499,California Nebula,Nebula,Diffuse nebula,4.1
1500,,Galaxy,Lenticular galaxy,15.2
1501,,Nebula,Planetary nebula,15.2
1502,,Cluster,Open cluster,7.5
1503,,Galaxy,Barred spiral galaxy,13.6
1504,,Galaxy,Elliptical galaxy,14.4
1505,,Galaxy,Spiral galaxy,13.7
1506,,Galaxy,Lenticular galaxy,13.4
1507,,Galaxy,Barred spiral galaxy,12.3
1508,,Galaxy,Spiral galaxy,14.5
1509,,Galaxy,Spiral galaxy,13.7
1510,,Galaxy,Lenticular galaxy,13.5
1511,,Galaxy,Spiral galaxy,12.1
1512,,Galaxy,Spiral galaxy,11.5
1513,,Cluster,Open cluster,8.7
1514,,Nebula,Planetary nebula,10
1515,,Galaxy,Spiral galaxy,11.83
1515A,,Galaxy,Barred spiral galaxy,14.6
1517,,Galaxy,Spiral galaxy,13.4
1518,,Galaxy,Barred spiral galaxy,11.8
1519,,Galaxy,Barred spiral galaxy,12.9
1520,,Cluster,Open cluster,
1521,,Galaxy,Elliptical galaxy,11.4
1522,,Galaxy,Lenticular galaxy,13.6
1523,,Asterism,Asterism,
1524,NGC 1516A,Galaxy,Barred spiral galaxy,14.6
1525,NGC 1516B,Galaxy,Spiral galaxy,13.8
1526,,Galaxy,Barred spiral galaxy,13.7
1527,,Galaxy,Lenticular galaxy,10.8
1528,,Cluster,Open cluster,6.4
1529,,Galaxy,Lenticular galaxy,13.3
1530,,Galaxy,Spiral galaxy,13.4
1531,,Galaxy,Lenticular galaxy,12.9
1532,,Galaxy,Spiral galaxy,10.7
1533,,Galaxy,Lenticular galaxy,11.9
1534,,Galaxy,Lenticular galaxy,12
1535,,Nebula,Planetary nebula,11.6
1536,,Galaxy,Barred spiral galaxy,12.5
1537,,Galaxy,Elliptical galaxy,10.6
1538,,Galaxy,Spiral galaxy,15.1
1539,(Identification uncertain),Galaxy,Galaxy,14.8
1540,,Galaxy,Interacting galaxy,13.9
1541,,Galaxy,Lenticular galaxy,13.6
1542,,Galaxy,Spiral galaxy,13.9
1543,,Galaxy,Barred lenticular galaxy,10.5
1544,,Galaxy,Spiral galaxy,13.3
1545,,Cluster,Open cluster,6.2
1546,,Galaxy,Spiral galaxy,10.9
1547,,Galaxy,Barred spiral galaxy,13.4
1548,,Cluster,Globular cluster,
1549,,Galaxy,Elliptical galaxy,9.8
1550,,Galaxy,Lenticular galaxy,12
1551,Duplicate of NGC 1550,Galaxy,Elliptical galaxy,12
1552,,Galaxy,Lenticular galaxy,12.9
1553,,Galaxy,Lenticular galaxy,9.4
1554,Struve's Lost Nebula,Nebula,Reflection nebula,
1555,Hind's Variable Nebula,Nebula,Reflection nebula,
1556,,Galaxy,Spiral galaxy,13.1
1557,,Cluster,Open cluster,
1558,,Galaxy,Barred spiral galaxy,12.4
1559,,Galaxy,Spiral galaxy,10.9
1560,,Galaxy,Spiral galaxy,12.1
1561,,Galaxy,Elliptical galaxy,13.8
1562,,Galaxy,Spiral galaxy,14.3
1563,,Galaxy,Elliptical galaxy,15
1564,,Galaxy,Spiral galaxy,14.6
1565,,Galaxy,Spiral galaxy,14
1566,,Galaxy,Spiral galaxy,10.2
1567,,Galaxy,Lenticular galaxy,
1568,,Galaxy,Interacting galaxy,14.9
1569,,Galaxy,Irregular galaxy,11.8
1570,,Galaxy,Elliptical galaxy,12.3
1571,Duplicate of NGC 1570,Galaxy,Elliptical galaxy,12.3
1572,,Galaxy,Barred spiral galaxy,12.4
1573,,Galaxy,Elliptical galaxy,11.7
1573A,UGC 3150,Galaxy,Barred spiral galaxy,14
1574,,Galaxy,Lenticular galaxy,10.4
1575,,Galaxy,Barred spiral galaxy,12.6
1576,,Galaxy,Lenticular galaxy,13.3
